what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409497121334
started,bundle,org.jboss.ide.eclipse.as.dmr,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.dmr",1409497139961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497168272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497169479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409497169485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497188437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497189653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409497189677
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1409497192508
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1409497192639
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1409497200056
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409497205868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497216263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497219249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1409497219298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497237112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497238363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409497238383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497245974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497246974
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1409497246980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409497246980
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1409497280807
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1409497280834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1409497282318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409497282708
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1409497285012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1409497285725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409497286619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409497287584
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1409497288615
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409497292167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497327220
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409497465320
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1409497465339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497465383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1409497465448
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1409497617244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497619813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497621025
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1409497621031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409497621031
error,log,,,"Could not get an editor input for the given element",1409497697663
error,log,,,"Could not get an editor input for the given element",1409497699401
error,log,,,"Could not get an editor input for the given element",1409497701152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409497796827
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1409497801556
